Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
137,image.kebhana.com,1.2,M,ECDHE_RSA_WITH_AES_256_GCM_SHA384,RSA+ECDHE,L,Thawte TLS RSA CA G1,2026-06-12,RSA,F,TLS_M_CS_L
138,localhost,1.2,M,ECDHE_RSA_WITH_AES_256_GCM_SHA384,RSA+ECDHE,L,Local Certificate,N/A,RSA_Inferred,F,TLS_M_CS_L
139,cms-assets.xboxservices.com,1.3,H,AES_256_GCM_SHA384,None,H,GeoTrust Global TLS RSA4096 SHA256 2022 CA1,2025-12-14,RSA,F,TLS_H_CS_H
140,cr.acecounter.com,1.3,H,AES_256_GCM_SHA384,None,H,Sectigo RSA Organization Validation Secure Server CA,2026-05-03,RSA,F,TLS_H_CS_H
141,assets.xboxservices.com,1.3,H,AES_256_GCM_SHA384,None,H,GeoTrust Global TLS RSA4096 SHA256 2022 CA1,2026-01-11,RSA,F,TLS_H_CS_H
142,gtp13.acecounter.com,1.2,M,Unknown (0x009C),Unknown,L,Sectigo RSA Organization Validation Secure Server CA,2026-05-03,RSA,F,TLS_M_CS_L
143,login.microsoftonline.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert SHA2 Secure Server CA,2026-01-22,RSA,F,TLS_H_CS_H
144,login.live.com,1.2,M,ECDHE_RSA_WITH_AES_256_GCM_SHA384,RSA+ECDHE,L,DigiCert SHA2 Secure Server CA,2026-01-13,RSA,F,TLS_M_CS_L
145,browser.events.data.microsoft.com,1.3,H,AES_256_GCM_SHA384,None,H,Microsoft Azure RSA TLS Issuing CA 08,2025-12-28,RSA,F,TLS_H_CS_H
146,dc.services.visualstudio.com,1.3,H,AES_256_GCM_SHA384,None,H,Microsoft Azure RSA TLS Issuing CA 04,2025-11-18,RSA,F,TLS_H_CS_H
147,wooribank.com,1.2,M,ECDHE_RSA_WITH_AES_256_GCM_SHA384,RSA+ECDHE,L,Sectigo RSA Extended Validation Secure Server CA,2026-07-26,RSA,F,TLS_M_CS_L
148,www.microsoft.com,1.3,H,AES_256_GCM_SHA384,None,H,Microsoft Azure RSA TLS Issuing CA 04,2026-07-16,RSA,F,TLS_H_CS_H
150,api-v2.mutinyhq.io,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M02,2025-12-08,RSA,F,TLS_M_CS_L
151,www.howsmyssl.com,1.2,M,ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,RSA+ECDHE,L,R10,2025-08-26,RSA,T,TLS_M_CS_L
154,pixel.everesttech.net,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2026-04-15,RSA,F,TLS_M_CS_L
155,rtd-tm.everesttech.net,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,GlobalSign Atlas R3 DV TLS CA 2025 Q2,2026-05-18,RSA,F,TLS_M_CS_L
158,emerald.xboxservices.com,1.3,H,AES_256_GCM_SHA384,None,H,GeoTrust Global TLS RSA4096 SHA256 2022 CA1,2025-12-11,RSA,F,TLS_H_CS_H
160,q.af.clicktale.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,R10,2025-09-25,RSA,T,TLS_H_CS_M
161,c.az.clicktale.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,R10,2025-09-25,RSA,T,TLS_H_CS_M
162,www.kbstar.com,1.2,M,ECDHE_RSA_WITH_AES_256_GCM_SHA384,RSA+ECDHE,L,Thawte EV RSA CA G2,2026-07-10,RSA,F,TLS_M_CS_L
163,oimg1.kbstar.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Thawte TLS RSA CA G1,2026-07-30,RSA,F,TLS_H_CS_M
